ID,Name,Age,Region,Event,Year
5,Christine Jacoba Aaftink,21.0,荷兰,速滑女子500米,1988
5,Christine Jacoba Aaftink,21.0,荷兰,速滑女子1000米,1988
5,Christine Jacoba Aaftink,25.0,荷兰,速滑女子500米,1992
5,Christine Jacoba Aaftink,25.0,荷兰,速滑女子1000米,1992
5,Christine Jacoba Aaftink,27.0,荷兰,速滑女子500米,1994
5,Christine Jacoba Aaftink,27.0,荷兰,速滑女子1000米,1994
6,Per Knut Aaland,31.0,美国,越野滑雪男子10公里,1992
6,Per Knut Aaland,31.0,美国,越野滑雪男子50公里,1992
6,Per Knut Aaland,31.0,美国,越野滑雪男子10/15公里追逐赛,1992
6,Per Knut Aaland,31.0,美国,越野滑雪男子4×10公里接力赛,1992
6,Per Knut Aaland,33.0,美国,越野滑雪男子10公里,1994
6,Per Knut Aaland,33.0,美国,越野滑雪男子30公里,1994
6,Per Knut Aaland,33.0,美国,越野滑雪男子10/15公里追逐赛,1994
6,Per Knut Aaland,33.0,美国,越野滑雪男子4×10公里接力赛,1994
7,John Aalberg,31.0,美国,越野滑雪男子10公里,1992
7,John Aalberg,31.0,美国,越野滑雪男子50公里,1992
7,John Aalberg,31.0,美国,越野滑雪男子10/15公里追逐赛,1992
7,John Aalberg,31.0,美国,越野滑雪男子4×10公里接力赛,1992
7,John Aalberg,33.0,美国,越野滑雪男子10公里,1994
7,John Aalberg,33.0,美国,越野滑雪男子30公里,1994
7,John Aalberg,33.0,美国,越野滑雪男子10/15公里追逐赛,1994
7,John Aalberg,33.0,美国,越野滑雪男子4×10公里接力赛,1994
9,Antti Sami Aalto,26.0,芬兰,冰球男子冰球,2002
11,Jorma Ilmari Aalto,22.0,芬兰,越野滑雪男子30公里,1980
14,Pirjo Hannele Aalto (Mattila-),32.0,芬兰,冬季两项女子7.5公里短距离,1994
16,Juhamatti Tapio Aaltonen,28.0,芬兰,冰球男子冰球,2014
20,Kjetil Andr Aamodt,20.0,挪威,高山滑雪男子滑降,1992
20,Kjetil Andr Aamodt,20.0,挪威,高山滑雪男子超级大回转,1992
20,Kjetil Andr Aamodt,20.0,挪威,高山滑雪男子大回转,1992
20,Kjetil Andr Aamodt,20.0,挪威,高山滑雪男子回转,1992
20,Kjetil Andr Aamodt,22.0,挪威,高山滑雪男子滑降,1994
20,Kjetil Andr Aamodt,22.0,挪威,高山滑雪男子超级大回转,1994
20,Kjetil Andr Aamodt,22.0,挪威,高山滑雪男子大回转,1994
20,Kjetil Andr Aamodt,22.0,挪威,高山滑雪男子回转,1994
20,Kjetil Andr Aamodt,22.0,挪威,高山滑雪男子全能,1994
20,Kjetil Andr Aamodt,26.0,挪威,高山滑雪男子滑降,1998
20,Kjetil Andr Aamodt,26.0,挪威,高山滑雪男子超级大回转,1998
20,Kjetil Andr Aamodt,26.0,挪威,高山滑雪男子大回转,1998
20,Kjetil Andr Aamodt,26.0,挪威,高山滑雪男子全能,1998
20,Kjetil Andr Aamodt,30.0,挪威,高山滑雪男子滑降,2002
20,Kjetil Andr Aamodt,30.0,挪威,高山滑雪男子超级大回转,2002
20,Kjetil Andr Aamodt,30.0,挪威,高山滑雪男子大回转,2002
20,Kjetil Andr Aamodt,30.0,挪威,高山滑雪男子回转,2002
20,Kjetil Andr Aamodt,30.0,挪威,高山滑雪男子全能,2002
20,Kjetil Andr Aamodt,34.0,挪威,高山滑雪男子滑降,2006
20,Kjetil Andr Aamodt,34.0,挪威,高山滑雪男子超级大回转,2006
24,Nils Egil Aaness,24.0,挪威,速滑男子500米,1960
24,Nils Egil Aaness,24.0,挪威,速滑男子1500米,1960
24,Nils Egil Aaness,27.0,挪威,速滑男子1500米,1964
26,Agnes Erika Aanonsen (-Eyde),17.0,挪威,雪橇女子单人,1984
35,Dagfinn Sverre Aarskog,24.0,挪威,雪车男子四人座,1998
40,Roald Edgar Aas,23.0,挪威,速滑男子1500米,1952
40,Roald Edgar Aas,27.0,挪威,速滑男子1500米,1956
40,Roald Edgar Aas,27.0,挪威,速滑男子5000米,1956
40,Roald Edgar Aas,31.0,挪威,速滑男子1500米,1960
40,Roald Edgar Aas,31.0,挪威,速滑男子5000米,1960
40,Roald Edgar Aas,31.0,挪威,速滑男子10000米,1960
44,Meelis Aasme,25.0,爱沙尼亚,越野滑雪男子30公里,1998
44,Meelis Aasme,25.0,爱沙尼亚,越野滑雪男子50公里,1998
44,Meelis Aasme,29.0,爱沙尼亚,越野滑雪男子15公里,2002
44,Meelis Aasme,29.0,爱沙尼亚,越野滑雪男子50公里,2002
44,Meelis Aasme,29.0,爱沙尼亚,越野滑雪男子4×10公里接力赛,2002
121,Muhammad Abbas,23.0,巴基斯坦,高山滑雪男子大回转,2010
126,Forough Abbasi,20.0,伊朗,高山滑雪女子回转,2014
137,Giordano Giulio Abbondati,15.0,意大利,花样滑冰男单,1964
137,Giordano Giulio Abbondati,19.0,意大利,花样滑冰男单,1968
145,Jeremy Abbott,24.0,美国,花样滑冰男单,2010
145,Jeremy Abbott,28.0,美国,花样滑冰男单,2014
145,Jeremy Abbott,28.0,美国,花样滑冰团体,2014
363,Kazumi Abe,24.0,日本,雪车男子二人座,1972
363,Kazumi Abe,24.0,日本,雪车男子四人座,1972
363,Kazumi Abe,28.0,日本,雪车男子二人座,1976
363,Kazumi Abe,28.0,日本,雪车男子四人座,1976
367,Masashi Abe,22.0,日本,北欧两项男子团体,1988
367,Masashi Abe,22.0,日本,北欧两项男子个人,1988
367,Masashi Abe,26.0,日本,北欧两项男子个人,1992
367,Masashi Abe,28.0,日本,北欧两项男子团体,1994
367,Masashi Abe,28.0,日本,北欧两项男子个人,1994
391,Clarence John Abel,23.0,美国,冰球男子冰球,1924
392,George Gordon Abel,35.0,加拿大,冰球男子冰球,1952
393,Gnther Abel,19.0,德国,北欧两项男子个人,1976
393,Gnther Abel,23.0,德国,北欧两项男子个人,1980
407,Ral Daniel Abella,26.0,阿根廷,冬季两项男子10公里短距离,1980
407,Ral Daniel Abella,26.0,阿根廷,冬季两项男子20公里,1980
407,Ral Daniel Abella,26.0,阿根廷,冬季两项男子4×7.5公里接力赛,1980
415,Bjrn Olof Conny berg,23.0,瑞典,自由式滑雪男子雪上技巧,1992
422,"Julianne ""Anne"" Abernathy",34.0,美国维尔京群岛,雪橇女子单人,1988
422,"Julianne ""Anne"" Abernathy",38.0,美国维尔京群岛,雪橇女子单人,1992
422,"Julianne ""Anne"" Abernathy",40.0,美国维尔京群岛,雪橇女子单人,1994
422,"Julianne ""Anne"" Abernathy",44.0,美国维尔京群岛,雪橇女子单人,1998
422,"Julianne ""Anne"" Abernathy",48.0,美国维尔京群岛,雪橇女子单人,2002
426,Edme Abetel (-Barr),29.0,瑞士,高山滑雪女子回转,1952
448,Sarah Abitbol,22.0,法国,花样滑冰混合双人,1998
452,Enver Nazymovych Ablaiev,22.0,乌克兰,自由式滑雪男子空中技巧,2002
452,Enver Nazymovych Ablaiev,26.0,乌克兰,自由式滑雪男子空中技巧,2006
452,Enver Nazymovych Ablaiev,30.0,乌克兰,自由式滑雪男子空中技巧,2010
462,Ilze bola,19.0,拉脱维亚,高山滑雪女子大回转,1998
463,Agnese boltia,17.0,拉脱维亚,高山滑雪女子超级大回转,2014
463,Agnese boltia,17.0,拉脱维亚,高山滑雪女子大回转,2014
463,Agnese boltia,17.0,拉脱维亚,高山滑雪女子回转,2014
466,Piroska Abos Gvorgyzakab,25.0,西班牙,越野滑雪女子5公里,1988
466,Piroska Abos Gvorgyzakab,25.0,西班牙,越野滑雪女子10公里,1988
466,Piroska Abos Gvorgyzakab,25.0,西班牙,越野滑雪女子20公里,1988
499,Dany Abounaoum,22.0,黎巴嫩,高山滑雪男子大回转,1992
499,Dany Abounaoum,22.0,黎巴嫩,高山滑雪男子回转,1992
522,Knut Leo Abrahamsen,25.0,挪威,北欧两项男子个人,1988
523,Trond Sevg Abrahamsen,19.0,挪威,冰球男子冰球,1980
523,Trond Sevg Abrahamsen,23.0,挪威,冰球男子冰球,1984
526,Kurt Christer Abrahamsson (-Abris),24.0,瑞典,冰球男子冰球,1972
529,Karl Gustaf Emanuel Abrahamsson,31.0,瑞典,冰球男子冰球,1928
530,Ulf Thommy Abrahamsson,24.0,瑞典,冰球男子冰球,1972
532,Iason Abramashvili,17.0,乔治亚州,高山滑雪男子大回转,2006
532,Iason Abramashvili,17.0,乔治亚州,高山滑雪男子回转,2006
532,Iason Abramashvili,21.0,乔治亚州,高山滑雪男子大回转,2010
532,Iason Abramashvili,21.0,乔治亚州,高山滑雪男子回转,2010
532,Iason Abramashvili,25.0,乔治亚州,高山滑雪男子大回转,2014
532,Iason Abramashvili,25.0,乔治亚州,高山滑雪男子回转,2014
534,Oleksandr Volodymyrovych Abramenko,17.0,乌克兰,自由式滑雪男子空中技巧,2006
534,Oleksandr Volodymyrovych Abramenko,21.0,乌克兰,自由式滑雪男子空中技巧,2010
534,Oleksandr Volodymyrovych Abramenko,25.0,乌克兰,自由式滑雪男子空中技巧,2014
535,Yevgeny Sergeyevich Abramenko,22.0,白俄罗斯,冬季两项男子10公里短距离,2010
535,Yevgeny Sergeyevich Abramenko,22.0,白俄罗斯,冬季两项男子12.5公里追逐,2010
535,Yevgeny Sergeyevich Abramenko,22.0,白俄罗斯,冬季两项男子20公里,2010
535,Yevgeny Sergeyevich Abramenko,22.0,白俄罗斯,冬季两项男子4×7.5公里接力赛,2010
535,Yevgeny Sergeyevich Abramenko,26.0,白俄罗斯,冬季两项男子10公里短距离,2014
535,Yevgeny Sergeyevich Abramenko,26.0,白俄罗斯,冬季两项混合2×6公里和2×7.5公里接力,2014
535,Yevgeny Sergeyevich Abramenko,26.0,白俄罗斯,冬季两项男子12.5公里追逐,2014
535,Yevgeny Sergeyevich Abramenko,26.0,白俄罗斯,冬季两项男子20公里,2014
535,Yevgeny Sergeyevich Abramenko,26.0,白俄罗斯,冬季两项男子4×7.5公里接力赛,2014
539,Levan Abramishvili,23.0,乔治亚州,高山滑雪男子回转,1994
539,Levan Abramishvili,27.0,乔治亚州,高山滑雪男子回转,1998
544,Sergey Mikhaylovich Abramov,34.0,俄罗斯,冰球男子冰球,1994
548,Yekaterina Konstantinovna Abramova,23.0,俄罗斯,速滑女子1000米,2006
548,Yekaterina Konstantinovna Abramova,23.0,俄罗斯,速滑女子1500米,2006
