ID,Name,Age,Region,Games,Medals
5,Christine Jacoba Aaftink,21.0,荷兰,1988冬奥会,{'NAN'}
5,Christine Jacoba Aaftink,25.0,荷兰,1992冬奥会,{'NAN'}
5,Christine Jacoba Aaftink,27.0,荷兰,1994冬奥会,{'NAN'}
6,Per Knut Aaland,31.0,美国,1992冬奥会,{'NAN'}
6,Per Knut Aaland,33.0,美国,1994冬奥会,{'NAN'}
7,John Aalberg,31.0,美国,1992冬奥会,{'NAN'}
7,John Aalberg,33.0,美国,1994冬奥会,{'NAN'}
9,Antti Sami Aalto,26.0,芬兰,2002冬奥会,{'NAN'}
11,Jorma Ilmari Aalto,22.0,芬兰,1980冬奥会,{'NAN'}
14,Pirjo Hannele Aalto (Mattila-),32.0,芬兰,1994冬奥会,{'NAN'}
16,Juhamatti Tapio Aaltonen,28.0,芬兰,2014冬奥会,{'铜牌'}
20,Kjetil Andr Aamodt,20.0,挪威,1992冬奥会,"{'金牌', 'NAN', '铜牌'}"
20,Kjetil Andr Aamodt,22.0,挪威,1994冬奥会,"{'银牌', 'NAN', '铜牌'}"
20,Kjetil Andr Aamodt,26.0,挪威,1998冬奥会,{'NAN'}
20,Kjetil Andr Aamodt,30.0,挪威,2002冬奥会,"{'金牌', 'NAN'}"
20,Kjetil Andr Aamodt,34.0,挪威,2006冬奥会,"{'金牌', 'NAN'}"
24,Nils Egil Aaness,24.0,挪威,1960冬奥会,{'NAN'}
24,Nils Egil Aaness,27.0,挪威,1964冬奥会,{'NAN'}
26,Agnes Erika Aanonsen (-Eyde),17.0,挪威,1984冬奥会,{'NAN'}
35,Dagfinn Sverre Aarskog,24.0,挪威,1998冬奥会,{'NAN'}
40,Roald Edgar Aas,23.0,挪威,1952冬奥会,{'铜牌'}
40,Roald Edgar Aas,27.0,挪威,1956冬奥会,{'NAN'}
40,Roald Edgar Aas,31.0,挪威,1960冬奥会,"{'金牌', 'NAN'}"
44,Meelis Aasme,25.0,爱沙尼亚,1998冬奥会,{'NAN'}
44,Meelis Aasme,29.0,爱沙尼亚,2002冬奥会,{'NAN'}
121,Muhammad Abbas,23.0,巴基斯坦,2010冬奥会,{'NAN'}
126,Forough Abbasi,20.0,伊朗,2014冬奥会,{'NAN'}
137,Giordano Giulio Abbondati,15.0,意大利,1964冬奥会,{'NAN'}
137,Giordano Giulio Abbondati,19.0,意大利,1968冬奥会,{'NAN'}
145,Jeremy Abbott,24.0,美国,2010冬奥会,{'NAN'}
145,Jeremy Abbott,28.0,美国,2014冬奥会,"{'NAN', '铜牌'}"
363,Kazumi Abe,24.0,日本,1972冬奥会,{'NAN'}
363,Kazumi Abe,28.0,日本,1976冬奥会,{'NAN'}
367,Masashi Abe,22.0,日本,1988冬奥会,{'NAN'}
367,Masashi Abe,26.0,日本,1992冬奥会,{'NAN'}
367,Masashi Abe,28.0,日本,1994冬奥会,"{'金牌', 'NAN'}"
391,Clarence John Abel,23.0,美国,1924冬奥会,{'银牌'}
392,George Gordon Abel,35.0,加拿大,1952冬奥会,{'金牌'}
393,Gnther Abel,19.0,德国,1976冬奥会,{'NAN'}
393,Gnther Abel,23.0,德国,1980冬奥会,{'NAN'}
407,Ral Daniel Abella,26.0,阿根廷,1980冬奥会,{'NAN'}
415,Bjrn Olof Conny berg,23.0,瑞典,1992冬奥会,{'NAN'}
422,"Julianne ""Anne"" Abernathy",34.0,美国维尔京群岛,1988冬奥会,{'NAN'}
422,"Julianne ""Anne"" Abernathy",38.0,美国维尔京群岛,1992冬奥会,{'NAN'}
422,"Julianne ""Anne"" Abernathy",40.0,美国维尔京群岛,1994冬奥会,{'NAN'}
422,"Julianne ""Anne"" Abernathy",44.0,美国维尔京群岛,1998冬奥会,{'NAN'}
422,"Julianne ""Anne"" Abernathy",48.0,美国维尔京群岛,2002冬奥会,{'NAN'}
426,Edme Abetel (-Barr),29.0,瑞士,1952冬奥会,{'NAN'}
448,Sarah Abitbol,22.0,法国,1998冬奥会,{'NAN'}
452,Enver Nazymovych Ablaiev,22.0,乌克兰,2002冬奥会,{'NAN'}
452,Enver Nazymovych Ablaiev,26.0,乌克兰,2006冬奥会,{'NAN'}
452,Enver Nazymovych Ablaiev,30.0,乌克兰,2010冬奥会,{'NAN'}
462,Ilze bola,19.0,拉脱维亚,1998冬奥会,{'NAN'}
463,Agnese boltia,17.0,拉脱维亚,2014冬奥会,{'NAN'}
466,Piroska Abos Gvorgyzakab,25.0,西班牙,1988冬奥会,{'NAN'}
499,Dany Abounaoum,22.0,黎巴嫩,1992冬奥会,{'NAN'}
522,Knut Leo Abrahamsen,25.0,挪威,1988冬奥会,{'NAN'}
523,Trond Sevg Abrahamsen,19.0,挪威,1980冬奥会,{'NAN'}
