ID,Name,Sex,Height,Weight,Regions
5,Christine Jacoba Aaftink,女,185.0,82.0,{'荷兰'}
6,Per Knut Aaland,男,188.0,75.0,{'美国'}
7,John Aalberg,男,183.0,72.0,{'美国'}
9,Antti Sami Aalto,男,186.0,96.0,{'芬兰'}
11,Jorma Ilmari Aalto,男,182.0,76.5,{'芬兰'}
14,Pirjo Hannele Aalto (Mattila-),女,171.0,65.0,{'芬兰'}
16,Juhamatti Tapio Aaltonen,男,184.0,85.0,{'芬兰'}
20,Kjetil Andr Aamodt,男,176.0,85.0,{'挪威'}
24,Nils Egil Aaness,男,NAN,NAN,{'挪威'}
26,Agnes Erika Aanonsen (-Eyde),女,169.0,65.0,{'挪威'}
35,Dagfinn Sverre Aarskog,男,190.0,98.0,{'挪威'}
40,Roald Edgar Aas,男,NAN,NAN,{'挪威'}
44,Meelis Aasme,男,182.0,73.0,{'爱沙尼亚'}
121,Muhammad Abbas,男,168.0,55.0,{'巴基斯坦'}
126,Forough Abbasi,女,164.0,58.0,{'伊朗'}
137,Giordano Giulio Abbondati,男,175.0,64.0,{'意大利'}
145,Jeremy Abbott,男,175.0,70.0,{'美国'}
363,Kazumi Abe,男,178.0,67.0,{'日本'}
367,Masashi Abe,男,175.0,64.0,{'日本'}
391,Clarence John Abel,男,185.0,102.0,{'美国'}
392,George Gordon Abel,男,NAN,NAN,{'加拿大'}
393,Gnther Abel,男,183.0,80.0,{'德国'}
407,Ral Daniel Abella,男,NAN,NAN,{'阿根廷'}
415,Bjrn Olof Conny berg,男,181.0,76.0,{'瑞典'}
422,"Julianne ""Anne"" Abernathy",女,165.0,75.0,{'美国维尔京群岛'}
426,Edme Abetel (-Barr),女,NAN,NAN,{'瑞士'}
448,Sarah Abitbol,女,150.0,43.0,{'法国'}
452,Enver Nazymovych Ablaiev,男,169.0,68.0,{'乌克兰'}
462,Ilze bola,女,169.0,60.0,{'拉脱维亚'}
463,Agnese boltia,女,166.0,60.0,{'拉脱维亚'}
466,Piroska Abos Gvorgyzakab,女,NAN,NAN,{'西班牙'}
499,Dany Abounaoum,男,NAN,NAN,{'黎巴嫩'}
522,Knut Leo Abrahamsen,男,NAN,NAN,{'挪威'}
523,Trond Sevg Abrahamsen,男,183.0,87.0,{'挪威'}
526,Kurt Christer Abrahamsson (-Abris),男,187.0,77.0,{'瑞典'}
529,Karl Gustaf Emanuel Abrahamsson,男,NAN,NAN,{'瑞典'}
530,Ulf Thommy Abrahamsson,男,185.0,81.0,{'瑞典'}
532,Iason Abramashvili,男,176.0,82.0,{'乔治亚州'}
534,Oleksandr Volodymyrovych Abramenko,男,180.0,82.0,{'乌克兰'}
535,Yevgeny Sergeyevich Abramenko,男,181.0,80.0,{'白俄罗斯'}
539,Levan Abramishvili,男,181.0,84.0,{'乔治亚州'}
544,Sergey Mikhaylovich Abramov,男,180.0,94.0,{'俄罗斯'}
548,Yekaterina Konstantinovna Abramova,女,167.0,65.0,{'俄罗斯'}
549,Alen Abramovi,男,180.0,72.0,{'克罗地亚'}
550,Dmitry Vladimirovich Abramovich,男,182.0,96.0,{'俄罗斯'}
559,Tsvetelina Abrasheva,女,NAN,NAN,{'保加利亚'}
561,Thomas Abratis,男,184.0,73.0,{'德国'}
562,Pawe Abratkiewicz,男,183.0,84.0,{'波兰'}
586,Tobias Abstreiter,男,178.0,85.0,{'德国'}
588,"Aleksandr Viktorovich ""Sasha"" Abt",男,179.0,68.0,{'俄罗斯'}
633,Martina Accola,女,170.0,62.0,{'瑞士'}
634,Paul Accola,男,176.0,82.0,{'瑞士'}
665,Gilbert Achard-Picard,男,NAN,NAN,{'法国'}
671,Ghassan Achi,男,168.0,60.0,{'黎巴嫩'}
679,Ioan Valeriu Achiriloaie,男,183.0,87.0,{'罗马尼亚'}
680,Rita Nikolayevna Achkina,女,168.0,63.0,{'俄罗斯'}
702,Ronny Ackermann,男,184.0,69.0,{'德国'}
705,Donat Acklin,男,190.0,99.0,{'瑞士'}
706,Guido Acklin,男,200.0,104.0,{'瑞士'}
735,"Benjamin Maxwell ""Ben"" Acton",男,NAN,NAN,{'澳大利亚'}
736,Brigitte Acton (-Smith),女,168.0,63.0,{'加拿大'}
746,Goro Adachi,男,156.0,56.0,{'日本'}
753,Yurie Adachi,女,156.0,51.0,{'日本'}
770,Marcus Adam,男,182.0,82.0,{'英国'}
772,"Michael B. ""Mike"" Adam",男,175.0,95.0,{'加拿大'}
792,Jina Adamikov-Pelcov,女,173.0,62.0,{'捷克共和国'}
794,Janusz Andrzej Adamiec,男,176.0,74.0,{'波兰'}
802,Tadeusz Ralf Adamowski,男,177.0,70.0,{'波兰'}
810,Bridget Shirley Adams (-Bengough),女,NAN,NAN,{'英国'}
840,"Victoria ""Vicki"" Adams",女,164.0,69.0,{'英国'}
892,Peter Adeberg,男,185.0,75.0,{'德国'}
893,Ulrike Adeberg (-Spielmann),女,170.0,60.0,{'德国'}
904,Gun Margareta del (-Nilsson),女,163.0,52.0,{'瑞典'}
911,Antoine Adelisse,男,178.0,65.0,{'法国'}
938,Cary Glen Adgate,男,173.0,74.0,{'美国'}
956,"Richard ""Richy""  Adjei",男,190.0,110.0,{'德国'}
992,Josef Adolf,男,NAN,NAN,{'捷克共和国'}
993,Ruth Adolf,女,165.0,56.0,{'瑞士'}
995,Jan Erik Adolfsen,男,NAN,NAN,{'挪威'}
998,ke Ronnie Adolfsson,男,180.0,77.0,{'瑞典'}
999,Sune Roland Adolfsson,男,180.0,74.0,{'瑞典'}
1026,Carlos Adsera Puig,男,173.0,72.0,{'西班牙'}
1034,Viktoriya Adyeva,女,160.0,55.0,{'哈萨克斯坦'}
1040,Urs Aeberhard,男,180.0,98.0,{'瑞士'}
1044,David Aebischer,男,186.0,85.0,{'瑞士'}
1045,Christian Aebli,男,180.0,95.0,{'瑞士'}
1053,Luca Aerni,男,177.0,80.0,{'瑞士'}
1055,Katrien Aerts,女,162.0,51.0,{'比利时'}
1062,Jean-Jacques Aeschlimann,男,186.0,86.0,{'瑞士'}
1063,Peter Aeschlimann,男,186.0,86.0,{'瑞士'}
1077,Xavier Affentranger,男,NAN,NAN,{'瑞士'}
1081,Alessia Afi Dipol,女,168.0,58.0,{'多哥'}
1085,Maksim Sergeyevich Afinogenov,男,183.0,88.0,{'俄罗斯'}
1106,Karim El-Husseini Aga Khan,男,NAN,NAN,{'伊朗'}
1111,Alisa Agafonova,女,171.0,NAN,{'土耳其'}
1115,Marina Aganina,女,158.0,51.0,{'乌兹别克斯坦'}
1119,Mark Sidney Andrew Agar,男,NAN,NAN,{'英国'}
1127,Giancarlo Agazzi,男,178.0,73.0,{'意大利'}
1138,Iwao Ageishi,男,166.0,72.0,{'日本'}
1150,Sven Ingvar Agge,男,NAN,NAN,{'瑞典'}
1171,Benjamin Agnel,男,175.0,75.0,{'法国'}
1172,Marysette Agnel,女,NAN,NAN,{'法国'}
1181,Meghan Christina Agosta (-Marciano),女,168.0,67.0,{'加拿大'}
1188,"Benjamin Alexandro ""Ben"" Agosto",男,178.0,75.0,{'美国'}
1193,Hernn Marcelo Agote,男,NAN,NAN,{'阿根廷'}
1200,Debora Agreiter,女,166.0,52.0,{'意大利'}
1267,Errol Aguilera,男,175.0,77.0,{'特立尼达'}
1280,Facundo Aguirre,男,182.0,78.0,{'阿根廷'}
1291,Mason Singer Aguirre,男,183.0,68.0,{'美国'}
1322,Kevin Joseph Ahearn,男,175.0,73.0,{'美国'}
1325,"Patrick Lee ""Pat"" Ahern",男,183.0,73.0,{'美国'}
1336,Mats Bertil hlberg,男,179.0,78.0,{'瑞典'}
1340,Annica Gunilla hln,女,177.0,75.0,{'瑞典'}
1341,Johan Petter hln (Andersson-),男,NAN,NAN,{'瑞典'}
1342,Thomas Valter hln,男,182.0,90.0,{'瑞典'}
1358,Kerstin Lucia Ahlqvist (-Winnberg),女,NAN,NAN,{'瑞典'}
1422,Ahn Jin-Soo,男,178.0,70.0,{'韩国'}
1423,Manfred Ahne,男,174.0,77.0,{'德国'}
1432,Seppo Johannes Ahokainen,男,178.0,82.0,{'芬兰'}
1435,Janne Petteri Ahonen,男,184.0,66.0,{'芬兰'}
1437,"Pirjo Hannele Ahonen (Nieminen-, Blomqvist-)",女,173.0,61.0,{'芬兰'}
1450,Gunnar Johan hs,男,NAN,NAN,{'瑞典'}
1455,Neha Ahuja,女,162.0,54.0,{'印度'}
1469,Hans Aichele,男,NAN,NAN,{'瑞士'}
1486,Kerstin Monika ij (-Lenndin),女,166.0,63.0,{'瑞典'}
1495,Richard Aimonetto,男,183.0,86.0,{'法国'}
1496,Giacomo Aimoni,男,170.0,72.0,{'意大利'}
1501,Sarah Catherine Ainsworth,女,170.0,61.0,{'英国'}
1508,Enrico Airoldi,男,NAN,NAN,{'意大利'}
1509,Remo Airoldi,男,NAN,NAN,{'意大利'}
1524,Ahmed Ait Moulay,男,NAN,NAN,{'摩洛哥'}
1528,Brahim Ait Sibrahim,男,NAN,NAN,{'摩洛哥'}
1542,Hiroyasu Aizawa,男,169.0,63.0,{'日本'}
1580,Akiko Akasaka,女,150.0,52.0,{'日本'}
1581,Yuichi Akasaka,男,169.0,64.0,{'日本'}
1586,Shikashi Akazawa,男,180.0,77.0,{'日本'}
1607,Anatoly Vasilyevich Akentyev,男,185.0,80.0,{'俄罗斯'}
1612,Ulf Erik kerblom,男,180.0,85.0,{'瑞典'}
1621,"Charles Arthur ""Charlie"" Akers",男,177.0,73.0,{'美国'}
1625,Jan-Erik kerstrm,男,172.0,62.0,{'瑞典'}
1626,Rolf Evert kerstrm,男,192.0,98.0,{'瑞典'}
1627,"Henry ""Hank"" Akervall",男,NAN,NAN,{'加拿大'}
1629,Lars Arne kesson,男,180.0,68.0,{'瑞典'}
1639,Albina Khamitovna Akhatova,女,160.0,55.0,{'俄罗斯'}
1648,Yerdos Zhaksimbinovich Akhmadiyev,男,180.0,72.0,{'哈萨克斯坦'}
1656,Sofia Akhmeteli,女,163.0,59.0,{'乔治亚州'}
1671,Takeshi Akiba,男,172.0,70.0,{'日本'}
1675,Masahiro Akimoto,男,175.0,63.0,{'日本'}
1743,Yelizaveta Vyacheslavovna Aksyonova,女,168.0,60.0,{'哈萨克斯坦'}
2213,Konstantin Georgiyevich Aladashvili,男,175.0,78.0,{'俄罗斯'}
2218,Arif Alaftargil,男,NAN,NAN,{'土耳其'}
2219,Atakan Alaftargil,男,NAN,NAN,{'土耳其'}
2254,Burhan Alanku,男,170.0,68.0,{'土耳其'}
2267,ric Alard,男,187.0,97.0,{'法国'}
2274,Mika Antero Alatalo,男,182.0,85.0,{'芬兰'}
2275,Toimi Johannes Alatalo,男,174.0,67.0,{'芬兰'}
2296,Marco Albarello,男,187.0,84.0,{'意大利'}
2308,Tommy Albelin,男,186.0,87.0,{'瑞典'}
2328,Karsten Klaus Albert,男,186.0,90.0,{'德国'}
2329,Louis Albert,男,NAN,NAN,{'法国'}
2332,Martine Albert,女,155.0,47.0,{'加拿大'}
2337,Bruno Alberti,男,174.0,75.0,{'意大利'}
2344,Reno Luigi Alberton,男,NAN,NAN,{'意大利'}
2348,Johnny Albertsen,男,170.0,75.0,{'丹麦'}
2361,Alan Jacob Alborn,男,178.0,61.0,{'美国'}
2366,Daniel Albrecht,男,183.0,89.0,{'瑞士'}
2370,Grant Albrecht,男,193.0,93.0,{'加拿大'}
2373,Kilian Albrecht,男,181.0,72.0,"{'保加利亚', '奥地利'}"
2378,Sylvia Albrecht (-Heckendorf),女,165.0,57.0,{'德国'}
2379,Brigitte Albrecht-Loretan,女,175.0,64.0,{'瑞士'}
2382,Margit Albrechtsson (sberg-),女,NAN,NAN,{'瑞典'}
2383,Janez Albreht,男,175.0,72.0,{'塞尔维亚'}
2386,"Tenley Emma Albright (-Gardiner, -Blakely)",女,NAN,NAN,{'美国'}
2409,Lindsay Alcock,女,170.0,68.0,{'加拿大'}
2414,"Chimene Mary ""Chemmy"" Alcott (-Crawford)",女,169.0,69.0,{'英国'}
2416,Zhanbota Yerkinovna Aldabergenova,女,168.0,57.0,{'哈萨克斯坦'}
2431,Henri Eugne Aldebert,男,NAN,NAN,{'法国'}
2436,Guillermo Alder,男,NAN,NAN,{'阿根廷'}
2437,Ins Alder,女,NAN,NAN,{'阿根廷'}
2444,Manole Aldescu,男,NAN,NAN,{'罗马尼亚'}
2445,"Robert Mathew ""Bob"" Aldighieri",男,170.0,70.0,{'美国'}
2473,Boris Viktorovich Aleksandrov,男,168.0,69.0,{'俄罗斯'}
2484,Sergey Yevgenyevich Aleksandrov,男,176.0,95.0,{'哈萨克斯坦'}
2486,Veniamin Veniaminovich Aleksandrov,男,180.0,81.0,{'俄罗斯'}
2487,Vladimir Petrovich Aleksandrov,男,178.0,89.0,{'俄罗斯'}
2491,Nadezhda Valeryevna Aleksandrova,女,172.0,67.0,{'俄罗斯'}
2505,Aleksandr Yuryevich Alekseyev,男,188.0,85.0,{'白俄罗斯'}
2507,Dmitry Sergeyevich Alekseyev,男,182.0,84.0,{'俄罗斯'}
2514,Lyubov Alekseyeva,女,154.0,47.0,{'哈萨克斯坦'}
2518,Boycho Aleksiev,男,NAN,NAN,{'保加利亚'}
2521,Nadezhda Aleksieva,女,165.0,57.0,{'保加利亚'}
2551,Arnaud Alessandria,男,185.0,92.0,{'摩纳哥'}
2577,Morgan Alexander,男,182.0,92.0,{'加拿大'}
2578,"Nicholas ""Nick"" Alexander",男,180.0,64.0,{'美国'}
2595,Panagiotis Alexandris,男,180.0,79.0,{'希腊'}
2596,Yorgo Alexandrou,男,190.0,110.0,{'亚美尼亚'}
2639,Hans Daniel Alfredsson,男,182.0,92.0,{'瑞典'}
2649,Ulf Hkan Gran Algotsson,男,178.0,77.0,{'瑞典'}
2737,Vladimir Aleksandrovich Alikin,男,NAN,NAN,{'俄罗斯'}
2748,Jan Alin,男,188.0,79.0,{'捷克共和国'}
2767,Olesya Murtazaliyevna Aliyeva,女,169.0,60.0,{'俄罗斯'}
2773,"Michael Charles ""Mike"" Aljoe",男,185.0,100.0,{'美国'}
2786,Yuliya Yakunovna Allagulova,女,176.0,54.0,{'俄罗斯'}
2792,mile Allais,男,168.0,68.0,{'法国'}
2793,Kathleen Allais,女,169.0,53.0,{'法国'}
2799,Olivier Allamand,男,175.0,72.0,{'法国'}
2805,Mitchell Allan,男,180.0,72.0,{'澳大利亚'}
2810,Pierre Allard,男,180.0,85.0,{'法国'}
2811,Roland Allard,男,NAN,NAN,{'法国'}
2812,"David ""Dave"" Allardice",男,170.0,75.0,{'英国'}
2835,"Christopher ""Chris"" Allen (-Ellis)",男,177.0,68.0,{'澳大利亚'}
2851,Kirk Blaine Allen,男,186.0,75.0,{'加拿大'}
2856,Lisa-Marie Allen,女,NAN,NAN,{'美国'}
2866,Roger Allen,男,189.0,NAN,{'加拿大'}
2867,Roseanne Allen,女,170.0,77.0,{'加拿大'}
2869,"Scott Ethan ""Scotty"" Allen",男,163.0,69.0,{'美国'}
2873,Wendy Irene Allen,女,163.0,55.0,{'美国'}
2876,"Theodor ""Theo"" Allenbach",男,NAN,NAN,{'瑞士'}
2884,Patricia Kim Alletson,女,NAN,NAN,{'加拿大'}
2887,"Steven James ""Steve"" Alley",男,182.0,83.0,{'美国'}
2899,Yves llig,男,NAN,NAN,{'瑞士'}
2902,Karl Ruben Allinger,男,NAN,NAN,{'瑞典'}
2914,Steve Allman,男,182.0,83.0,{'挪威'}
2921,Fernando Alloni,男,NAN,NAN,{'意大利'}
2938,Eivor Matilda Alm (-Astergren),女,NAN,NAN,{'瑞典'}
2939,Ernst Alm,男,174.0,NAN,{'瑞典'}
2941,Juha Henri Alm,男,180.0,78.0,{'芬兰'}
2961,"Joseph Michael ""Joe"" Almasian",男,183.0,85.0,{'亚美尼亚'}
2962,Zsuzsa Almssy,女,158.0,60.0,{'匈牙利'}
2963,Peter Almasy,男,182.0,84.0,{'法国'}
2965,"sa Annelie Charlotte ""Lotta"" Almblad (-Lindefors)",女,170.0,69.0,{'瑞典'}
2987,Aleksandr Davletovich Almetov,男,178.0,83.0,{'俄罗斯'}
3001,Alexei Almoukov,男,173.0,73.0,{'澳大利亚'}
3006,Gte Augustin Almqvist,男,NAN,NAN,{'瑞典'}
3021,Pekka Juho Kustaa Alonen,男,180.0,69.0,{'芬兰'}
3022,Pentti Johannes Alonen,男,172.0,65.0,{'芬兰'}
3043,Nstor Alonso Casajuana,男,168.0,77.0,{'西班牙'}
3048,Kseniya Alekseyevna Alopina,女,165.0,60.0,{'俄罗斯'}
3061,Luc Alphand,男,180.0,75.0,{'法国'}
3069,Thomas Alsgaard (Alsgrd-),男,190.0,82.0,{'挪威'}
3080,Robert Alt,男,NAN,NAN,{'瑞士'}
3088,Altangadasyn Sodnomdarjaa,男,169.0,69.0,{'蒙古'}
3091,Alfred Altenburger,男,NAN,NAN,{'瑞士'}
3094,"Jennifer ""Jenny"" Altermatt",女,NAN,NAN,{'澳大利亚'}
3096,Katharina Althaus,女,157.0,52.0,{'德国'}
3108,Livia Altmann,女,165.0,64.0,{'瑞士'}
3109,Mario Altmann,男,193.0,98.0,{'奥地利'}
3118,Jeannette Eleanor Altwegg (-Wirz),女,NAN,NAN,{'英国'}
3126,Ilmar Aluvee,男,178.0,65.0,{'爱沙尼亚'}
3150,"Eduardo C. ""Eddy"" Alvarez",男,175.0,72.0,{'美国'}
3187,Roberto Adolfo Alvrez Hojel,男,NAN,NAN,{'墨西哥'}
3207,Reidar Jakob Alveberg,男,NAN,NAN,{'挪威'}
3208,Albino Alver,男,NAN,NAN,{'意大利'}
3209,Eleonora Alver,女,169.0,61.0,{'意大利'}
3210,Fabio Alver,男,181.0,76.0,{'意大利'}
3211,Giorgio Alver,男,180.0,84.0,{'意大利'}
3212,Isidoro Alver,男,NAN,NAN,{'意大利'}
3213,Michele Alver,男,NAN,NAN,{'意大利'}
3214,Renzo Alver,男,178.0,83.0,{'意大利'}
3215,Silvio Alver,男,NAN,NAN,{'意大利'}
3245,Anatoly Nikolayevich Alyabyev,男,NAN,NAN,{'俄罗斯'}
3251,Ivan Vladimirovich Alypov,男,169.0,60.0,{'俄罗斯'}
3258,Ccile Alzina,女,160.0,50.0,{'法国'}
3259,"John C. Amabile, Jr.",男,188.0,98.0,{'波多黎各'}
3288,Else Amann,女,NAN,NAN,{'德国'}
3290,"Richard ""Rick"" Amann",男,183.0,85.0,{'德国'}
3292,Shin Amano,男,174.0,62.0,{'日本'}
3295,Ingrda Amantova,女,170.0,69.0,{'俄罗斯'}
3296,Baptiste Amar,男,183.0,85.0,{'法国'}
3359,Paul Ambros,男,174.0,76.0,{'德国'}
3364,Giampaolo Ambrosi,男,174.0,72.0,{'意大利'}
3381,Andres Ambhl,男,176.0,82.0,{'瑞士'}
3382,Elias Ambhl,男,182.0,82.0,{'瑞士'}
3383,Gaudenz Ambhl,男,178.0,76.0,{'瑞士'}
3385,Joos Ambhl,男,177.0,77.0,{'瑞士'}
3414,"Ronald William ""Ron"" Amess",男,NAN,NAN,{'澳大利亚'}
3433,Sbastien Amiez,男,180.0,87.0,{'法国'}
3456,Benik Amirian,男,NAN,NAN,{'伊朗'}
3464,Mathilde Amivi Petitjean,女,163.0,60.0,{'多哥'}
3469,Hans Ammann,男,172.0,55.0,{'瑞士'}
3472,Simon Ammann,男,171.0,55.0,{'瑞士'}
3473,Amanda Ammar,女,157.0,54.0,{'加拿大'}
3486,Florent Amodio,男,164.0,56.0,{'法国'}
3491,"Anthony Lewis ""Tony"" Amonte",男,183.0,91.0,{'美国'}
3514,Zinaida Stepanovna Amosova (Shishkina-),女,163.0,NAN,{'俄罗斯'}
3530,Eduardo Ampudia Nio de Rivera,男,NAN,NAN,{'墨西哥'}
3531,Veronica Ampudia Nio de Rivera,女,NAN,NAN,{'墨西哥'}
3546,Ursula Amstein,女,172.0,58.0,{'瑞士'}
3590,An Ji-Min,女,163.0,52.0,{'韩国'}
3595,An Sang-Mi,女,155.0,48.0,{'韩国'}
3598,An Sen-Za,女,NAN,NAN,{'朝鲜'}
3604,Viktor An,男,170.0,65.0,"{'韩国', '俄罗斯'}"
3605,An Weijiang,男,178.0,72.0,{'中国'}
3610,An Yulong,男,173.0,70.0,{'中国'}
3626,"Douglas Thomas ""Doug"" Anakin",男,NAN,NAN,{'加拿大'}
3633,Yekaterina Igorevna Ananina,女,172.0,62.0,{'俄罗斯'}
3634,Lyudmila Arkadyevna Ananko,女,163.0,55.0,{'白俄罗斯'}
3639,Yuliya Igorevna Anashkina,女,172.0,70.0,{'俄罗斯'}
